# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (m/s),Total acceleration (G),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (mm),Reference area (m²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
4.7267,571.07,110.78,-1.6058,111.13,1.609,38.769,0.0065639,38.769,0.0097006,8.8409,0.10062,40,-100,0.99885,0.17062,-6.6483e-5,-2.0726,0.018165,266.5,0,0.0068303,3.4151e-5,314.48,272.29,1.5629,0.3363,3200172,0,1.6062,0.44962,0.44966,0.31059,0.0043214,0.1347,0.015593,0.024373,-2.1055e-4,0,0,0,0,-1.0721e-5,0.0012688,27,5.7256e-4,82.688,0.0048723,NaN,1.5381,788.11,332.23,0.05,0.047659
4.7767,576.59,109.99,-1.5959,110.34,1.5993,39.21,0.0067186,39.21,0.0098176,8.7881,0.10556,40,-100,0.99884,0.22846,-6.4052e-5,-0.71687,0.015897,266.5,0,0.0068303,3.4151e-5,314.29,272.29,1.5556,0.33393,3176008,0,1.5819,0.44941,0.44948,0.31064,0.004269,0.1345,0.020971,0.032796,8.2824e-5,0,0,0,0,-1.3009e-6,0.0012599,27,5.7256e-4,82.759,-0.0061799,NaN,1.5022,787.58,332.21,0.05,0.047871
4.8267,582.07,109.21,-1.5866,109.56,1.5901,39.648,0.0068685,39.648,0.0099257,8.738,0.106,40,-100,0.99884,0.24528,-6.686e-5,0.46261,0.018786,266.5,0,0.0068303,3.4151e-5,314.22,272.29,1.5532,0.33159,3152166,0,1.5581,0.44921,0.44929,0.31069,0.0042177,0.13429,0.022543,0.035134,-1.4854e-5,0,0,0,0,5.495e-7,0.0012509,27,5.7256e-4,82.765,-0.012806,NaN,1.4666,787.05,332.19,0.05,0.048058
4.8767,587.51,108.44,-1.5789,108.78,1.5817,40.084,0.0070117,40.084,0.010023,8.6862,0.094096,40,-100,0.99884,0.15494,-6.9636e-5,1.8312,0.036407,266.5,0,0.0068303,3.4151e-5,314.5,272.29,1.5634,0.32923,3128192,0,1.5341,0.449,0.44903,0.31074,0.0041666,0.13409,0.014139,0.021681,3.9945e-4,0,0,0,0,8.7352e-6,0.0012421,27,5.7256e-4,82.706,-0.0142,NaN,1.4312,786.53,332.17,0.05,0.048275
4.9267,592.91,107.66,-1.5712,108.01,1.5734,40.517,0.0071483,40.517,0.010109,8.6454,0.08389,40,-100,0.99884,0.071169,-6.9753e-5,2.1905,0.047364,266.5,0,0.0068303,3.4151e-5,314.76,272.29,1.5729,0.32692,3104692,0,1.5109,0.4488,0.44881,0.31079,0.004117,0.13389,0.0064517,0.010274,-3.8179e-4,0,0,0,0,1.2678e-5,0.0012333,27,5.7256e-4,82.603,-0.0073929,NaN,1.3961,786.01,332.14,0.05,0.048475
4.9767,598.27,106.9,-1.5638,107.24,1.5655,40.948,0.0072804,40.948,0.010187,8.6045,0.073378,40,-100,0.99884,0.020587,-6.9336e-5,-2.5571,0.13399,266.5,0,0.0068303,3.4151e-5,314.91,272.29,1.5786,0.32463,3081416,0,1.4882,0.44861,0.44861,0.31084,0.0040682,0.1337,0.0018587,0.0030915,-2.2067e-4,0,0,0,0,-1.7524e-5,0.0012245,27,5.7256e-4,82.482,0.0048818,NaN,1.3612,785.49,332.12,0.05,0.048664
5.0267,603.6,106.13,-1.5562,106.48,1.5576,41.378,0.0074124,41.378,0.010264,8.5727,0.065932,40,-100,0.99884,0.087044,-6.9479e-5,-2.056,0.0092732,266.5,0,0.0068303,3.4151e-5,314.68,272.29,1.5702,0.32236,3058405,0,1.4659,0.44841,0.44842,0.31088,0.0040205,0.13351,0.0078995,0.012694,2.5164e-4,0,0,0,0,-1.149e-5,0.0012158,27,5.7256e-4,82.366,0.019173,NaN,1.3266,784.98,332.1,0.05,0.048852
5.0767,608.89,105.37,-1.5489,105.72,1.5499,41.805,0.0075487,41.806,0.010346,8.5402,0.056684,40,-100,0.99883,0.16859,-6.7974e-5,-1.6098,0.003058,266.5,0,0.0068303,3.4151e-5,314.41,272.29,1.5601,0.32008,3035269,0,1.4438,0.44822,0.44826,0.31093,0.0039728,0.13332,0.015396,0.02386,2.0296e-4,0,0,0,0,-7.1456e-6,0.0012071,27,5.7256e-4,82.272,0.030264,NaN,1.2922,784.47,332.08,0.05,0.04904
5.1267,614.14,104.61,-1.5414,104.96,1.5422,42.232,0.0076932,42.232,0.010437,8.5163,0.049618,40,-100,0.99883,0.22843,-6.6927e-5,-0.39058,0.0027502,266.5,0,0.0068303,3.4151e-5,314.21,272.29,1.5527,0.31779,3012105,0,1.4218,0.44803,0.4481,0.31098,0.0039255,0.13313,0.020958,0.032509,-1.4394e-4,0,0,0,0,-4.2679e-7,0.0011985,27,5.7256e-4,82.221,0.036935,NaN,1.2581,783.97,332.06,0.05,0.04924
5.1767,619.35,103.86,-1.533,104.2,1.5338,42.657,0.0078476,42.657,0.010541,8.4907,0.049595,40,-99.999,0.99883,0.22124,-6.5963e-5,0.64181,-0.0053558,266.5,0,0.0068303,3.4151e-5,314.22,272.29,1.5531,0.31552,2989157,0,1.4,0.44784,0.44791,0.31102,0.003879,0.13294,0.020285,0.031189,1.8497e-4,0,0,0,0,1.1692e-6,0.0011899,27,5.7256e-4,82.228,0.035758,NaN,1.2242,783.46,332.04,0.05,0.049428
5.2267,624.52,103.11,-1.5247,103.46,1.5255,43.081,0.008011,43.081,0.010654,8.4672,0.048007,40,-99.999,0.99883,0.2236,-6.4212e-5,1.7858,-0.013156,266.5,0,0.0068303,3.4151e-5,314.2,272.29,1.5524,0.31322,2965911,0,1.3782,0.44765,0.44772,0.31107,0.0038322,0.13275,0.020504,0.032081,5.6405e-5,0,0,0,0,9.1867e-6,0.0011814,27,5.7256e-4,82.288,0.027744,NaN,1.1906,782.97,332.02,0.05,0.049615
5.2767,629.66,102.36,-1.5153,102.71,1.5164,43.504,0.0081806,43.504,0.010774,8.4423,0.056471,40,-99.999,0.99883,0.12737,-6.3564e-5,2.7171,-0.024543,266.5,0,0.0068303,3.4151e-5,314.5,272.29,1.5634,0.31096,2943126,0,1.3568,0.44747,0.44749,0.31111,0.0037868,0.13257,0.011592,0.018373,6.9993e-5,0,0,0,0,2.1579e-5,0.0011729,27,5.7256e-4,82.403,0.016784,NaN,1.1572,782.47,332,0.05,0.049803
5.3267,634.76,101.62,-1.5056,101.97,1.5072,43.925,0.0083526,43.925,0.010895,8.4114,0.068868,40,-99.999,0.99883,0.013919,-6.3333e-5,-2.9643,-0.26854,266.5,0,0.0068303,3.4151e-5,314.85,272.29,1.5765,0.30873,2920603,0,1.336,0.44729,0.44729,0.31115,0.0037423,0.13239,0.0012555,0.0015838,-3.9865e-4,0,0,0,0,-2.6061e-5,0.0011644,27,5.7256e-4,82.548,0.0037351,NaN,1.1241,781.98,331.98,0.05,0.049991
5.3767,639.82,100.89,-1.496,101.23,1.4983,44.345,0.0085227,44.345,0.011012,8.3746,0.083081,40,-99.999,0.99882,0.1753,-6.3367e-5,-2.579,-0.011972,266.5,0,0.0068303,3.4151e-5,314.32,272.29,1.5569,0.30652,2898395,0,1.3157,0.44711,0.44715,0.3112,0.0036988,0.13221,0.016011,0.024761,-1.9946e-4,0,0,0,0,-2.0013e-5,0.001156,27,5.7256e-4,82.691,-0.01197,NaN,1.0912,781.49,331.96,0.05,0.050176
5.4267,644.85,100.16,-1.4871,100.5,1.49,44.762,0.0086867,44.762,0.011119,8.3307,0.09306,40,-99.999,0.99882,0.29294,-6.2717e-5,-1.4101,0.001819,266.5,0,0.0068303,3.4151e-5,313.94,272.29,1.5429,0.30433,2876320,0,1.2959,0.44693,0.44705,0.31124,0.0036559,0.13204,0.026999,0.041941,-4.458e-4,0,0,0,0,-6.0699e-6,0.0011477,27,5.7256e-4,82.792,-0.025621,NaN,1.0585,781.01,331.94,0.05,0.050364
5.4767,649.84,99.428,-1.4792,99.773,1.4823,45.178,0.0088408,45.178,0.011212,8.2845,0.095582,40,-99.999,0.99882,0.33408,-6.1304e-5,0.043453,0.009193,266.5,0,0.0068303,3.4151e-5,313.81,272.29,1.5378,0.30214,2854324,0,1.2762,0.44676,0.44691,0.31128,0.0036136,0.13187,0.030887,0.04782,-3.4218e-4,0,0,0,0,5.8485e-9,0.0011394,27,5.7256e-4,82.827,-0.032913,NaN,1.0261,780.53,331.92,0.05,0.050552
5.5267,654.79,98.704,-1.4732,99.048,1.4754,45.591,0.0089835,45.591,0.01129,8.2393,0.080609,40,-99.999,0.99882,0.19634,-6.0777e-5,1.4461,0.032084,266.5,0,0.0068303,3.4151e-5,314.23,272.29,1.5533,0.29989,2831781,0,1.2557,0.44658,0.44664,0.31132,0.0035704,0.13169,0.017959,0.027419,-2.9043e-4,0,0,0,0,6.5754e-6,0.0011311,27,5.7256e-4,82.787,-0.032497,NaN,0.99386,780.05,331.9,0.05,0.050739
5.5767,659.71,97.983,-1.4665,98.326,1.4684,46.002,0.0091154,46.002,0.011353,8.2044,0.074187,40,-99.999,0.99882,0.13571,-6.177e-5,1.9015,0.03452,266.5,0,0.0068303,3.4151e-5,314.41,272.29,1.5601,0.29774,2810129,0,1.2364,0.44642,0.44644,0.31136,0.0035294,0.13152,0.012354,0.019611,4.7509e-4,0,0,0,0,1.1537e-5,0.0011229,27,5.7256e-4,82.703,-0.024245,NaN,0.9619,779.58,331.88,0.05,0.050927
5.6267,664.59,97.266,-1.4596,97.608,1.4614,46.411,0.0092395,46.411,0.011406,8.1667,0.072217,40,-99.999,0.99882,0.11691,-6.2198e-5,2.6333,0.018667,266.5,0,0.0068303,3.4151e-5,314.46,272.29,1.562,0.29564,2789063,0,1.2178,0.44625,0.44627,0.3114,0.0034899,0.13136,0.010626,0.016576,-2.7145e-4,0,0,0,0,2.2442e-5,0.0011147,27,5.7256e-4,82.589,-0.0096538,NaN,0.93017,779.11,331.86,0.05,0.051114
5.6767,669.44,96.552,-1.454,96.894,1.4552,46.819,0.0093595,46.819,0.011454,8.1346,0.058859,40,-99.999,0.99881,0.027376,-6.248e-5,-2.8186,0.10156,266.5,0,0.0068303,3.4151e-5,314.74,272.29,1.5723,0.29348,2767457,0,1.1989,0.44609,0.44609,0.31144,0.0034496,0.1312,0.0024707,0.0036565,-1.7622e-4,0,0,0,0,-2.6095e-5,0.0011066,27,5.7256e-4,82.45,0.0063663,NaN,0.89867,778.64,331.84,0.05,0.051306
5.7267,674.24,95.84,-1.4484,96.183,1.4492,47.225,0.0094801,47.225,0.011502,8.1087,0.047678,40,-99.999,0.99881,0.15092,-6.169e-5,-2.4198,0.015142,266.5,0,0.0068303,3.4151e-5,314.33,272.29,1.5573,0.29134,2746048,0,1.1804,0.44593,0.44596,0.31148,0.0034101,0.13103,0.013752,0.021316,4.9957e-4,0,0,0,0,-1.9518e-5,0.0010985,27,5.7256e-4,82.317,0.02252,NaN,0.86741,778.18,331.82,0.05,0.051493
5.7767,679.02,95.131,-1.4434,95.475,1.4437,47.63,0.0096054,47.63,0.011555,8.0881,0.032577,40,-99.999,0.99881,0.31517,-6.1608e-5,-1.521,0.012771,266.5,0,0.0068303,3.4151e-5,313.81,272.29,1.5378,0.28916,2724286,0,1.162,0.44576,0.4459,0.31152,0.0033701,0.13087,0.029085,0.04478,-3.2772e-4,0,0,0,0,-7.8297e-6,0.0010904,27,5.7256e-4,82.215,0.034398,NaN,0.83638,777.72,331.81,0.05,0.051693
5.8267,683.76,94.425,-1.4377,94.77,1.4379,48.034,0.0097388,48.034,0.011617,8.0757,0.022626,40,-99.999,0.99881,0.42017,-5.9931e-5,0.11847,0.010163,266.5,0,0.0068303,3.4151e-5,313.48,272.29,1.5255,0.28699,2702590,0,1.1438,0.4456,0.44584,0.31156,0.0033306,0.13071,0.039087,0.059328,2.2085e-4,0,0,0,0,4.823e-8,0.0010824,27,5.7256e-4,82.179,0.041859,NaN,0.80557,777.26,331.79,0.05,0.051902
5.8767,688.46,93.722,-1.4287,94.068,1.4292,48.437,0.0098818,48.437,0.011689,8.0629,0.03863,40,-99.999,0.99881,0.23584,-6.0635e-5,1.6675,0.024232,266.5,0,0.0068303,3.4151e-5,314.04,272.29,1.5463,0.28495,2682279,0,1.1262,0.44545,0.44552,0.3116,0.0032941,0.13056,0.021629,0.033305,1.7055e-5,0,0,0,0,9.6921e-6,0.0010744,27,5.7256e-4,82.226,0.042454,NaN,0.775,776.81,331.77,0.05,0.052091
5.9267,693.13,93.024,-1.419,93.371,1.4204,48.84,0.010034,48.84,0.011771,8.0372,0.062068,40,-99.999,0.99881,0.050368,-6.0792e-5,-1.955,0.14446,266.5,0,0.0068303,3.4151e-5,314.62,272.29,1.5679,0.28297,2662475,0,1.1094,0.4453,0.4453,0.31163,0.0032588,0.13041,0.0045526,0.0076329,-2.9457e-4,0,0,0,0,-1.3511e-5,0.0010665,27,5.7256e-4,82.322,0.0382,NaN,0.74465,776.36,331.75,0.05,0.052279
5.9767,697.76,92.33,-1.4099,92.676,1.4124,49.241,0.010194,49.241,0.011862,8.0021,0.083605,40,-99.999,0.99881,0.31743,-6.1602e-5,-1.29,0.038722,266.5,0,0.0068303,3.4151e-5,313.77,272.29,1.5363,0.281,2642774,0,1.0933,0.44516,0.44529,0.31167,0.003224,0.13027,0.029293,0.044938,-1.3001e-5,0,0,0,0,-5.9664e-6,0.0010585,27,5.7256e-4,82.407,0.028761,NaN,0.71453,775.92,331.73,0.05,0.052468
6.0267,702.36,91.641,-1.4021,91.986,1.4054,49.64,0.010359,49.64,0.011957,7.9566,0.096345,40,-99.999,0.9988,0.47839,-6.1644e-5,0.39649,0.02935,266.5,0,0.0068303,3.4151e-5,313.27,272.29,1.5177,0.27901,2622934,0,1.0773,0.44501,0.44532,0.3117,0.0031891,0.13012,0.044692,0.067517,4.0946e-4,0,0,0,0,5.7174e-7,0.0010507,27,5.7256e-4,82.432,0.016952,NaN,0.68464,775.47,331.71,0.05,0.052654
6.0767,706.93,90.955,-1.3953,91.298,1.3989,50.037,0.010526,50.037,0.012053,7.9089,0.099886,40,-99.999,0.9988,0.5297,-5.8982e-5,2.2983,0.032286,266.5,0,0.0068303,3.4151e-5,313.1,272.29,1.5117,0.27702,2603094,0,1.0612,0.44487,0.44525,0.31174,0.0031545,0.12998,0.049675,0.075148,-8.0055e-5,0,0,0,0,1.949e-5,0.0010428,27,5.7256e-4,82.365,0.0060774,NaN,0.65497,775.03,331.7,0.05,0.05285
6.1267,711.46,90.273,-1.39,90.614,1.393,50.431,0.010691,50.431,0.012147,7.8605,0.090901,40,-99.999,0.9988,0.43012,-6.0147e-5,4.2697,0.049174,266.5,0,0.0068303,3.4151e-5,313.39,272.29,1.5225,0.275,2583029,0,1.0446,0.44472,0.44497,0.31177,0.0031198,0.12983,0.04003,0.060393,-3.1801e-4,0,0,0,0,6.8265e-5,0.001035,27,5.7256e-4,82.199,-0.0035715,NaN,0.62552,774.6,331.68,0.05,0.05304
6.1767,715.96,89.592,-1.3875,89.933,1.3887,50.823,0.010854,50.823,0.012236,7.8222,0.059017,40,-99.999,0.9988,0.038255,-5.9897e-5,5.2691,0.49423,266.5,0,0.0068303,3.4151e-5,314.62,272.29,1.5677,0.27284,2561665,0,1.0267,0.44457,0.44457,0.31181,0.003083,0.12968,0.0034535,0.0052226,-8.8879e-5,0,0,0,0,1.0563e-4,0.0010272,27,5.7256e-4,81.954,-0.010346,NaN,0.59629,774.17,331.66,0.05,0.053227
6.2267,720.42,88.912,-1.385,89.253,1.3854,51.213,0.011012,51.213,0.01232,7.8018,0.031951,40,-99.999,0.9988,0.31323,-6.0641e-5,-4.6128,0.0569,266.5,0,0.0068303,3.4151e-5,313.74,272.29,1.5352,0.27072,2540678,0,1.0102,0.44442,0.44455,0.31185,0.0030472,0.12953,0.028888,0.044396,-2.6116e-4,0,0,0,0,-8.2234e-5,0.0010195,27,5.7256e-4,81.701,-0.012395,NaN,0.56728,773.74,331.64,0.05,0.053415
6.2767,724.85,88.234,-1.3808,88.577,1.3809,51.603,0.011165,51.603,0.012396,7.7892,0.020839,40,-99.999,0.9988,0.46086,-5.8928e-5,-3.183,0.038239,266.5,0,0.0068303,3.4151e-5,313.28,272.29,1.5181,0.2687,2520690,0,0.99471,0.44428,0.44457,0.31188,0.0030134,0.12939,0.042985,0.064808,3.3979e-4,0,0,0,0,-3.9752e-5,0.0010118,27,5.7256e-4,81.504,-0.0086469,NaN,0.5385,773.31,331.63,0.05,0.053602
6.3267,729.24,87.558,-1.374,87.903,1.3743,51.992,0.011313,51.992,0.012467,7.7791,0.027286,40,-99.999,0.9988,0.3858,-5.96e-5,-1.5173,0.036636,266.5,0,0.0068303,3.4151e-5,313.5,272.29,1.5263,0.26679,2501680,0,0.97956,0.44415,0.44435,0.31191,0.0029816,0.12925,0.035776,0.054896,-1.4191e-4,0,0,0,0,-9.1639e-6,0.0010042,27,5.7256e-4,81.388,-0.0014075,NaN,0.50993,772.89,331.61,0.05,0.05379
6.3767,733.6,86.886,-1.3679,87.232,1.3682,52.381,0.01146,52.381,0.012535,7.763,0.028277,40,-99.999,0.99879,0.3716,-5.8561e-5,-0.42194,0.038602,266.5,0,0.0068303,3.4151e-5,313.53,272.29,1.5276,0.26479,2481987,0,0.96413,0.44401,0.4442,0.31195,0.0029489,0.12912,0.03442,0.052219,-1.4535e-4,0,0,0,0,-7.1943e-7,9.9653e-4,27,5.7256e-4,81.34,0.0098597,NaN,0.48158,772.47,331.59,0.05,0.053979
6.4267,737.93,86.217,-1.3618,86.564,1.3621,52.769,0.011607,52.769,0.012603,7.7508,0.028864,40,-99.999,0.99879,0.35683,-5.8444e-5,0.99751,0.045344,266.5,0,0.0068303,3.4151e-5,313.57,272.29,1.529,0.26277,2461986,0,0.94859,0.44387,0.44404,0.31198,0.0029159,0.12898,0.033013,0.05062,2.9861e-4,0,0,0,0,4.0835e-6,9.8893e-4,27,5.7256e-4,81.355,0.023141,NaN,0.45345,772.05,331.57,0.05,0.054168
6.4767,742.22,85.551,-1.3556,85.9,1.3559,53.156,0.011758,53.156,0.012674,7.7347,0.029644,40,-99.999,0.99879,0.33401,-5.8057e-5,2.0073,0.055869,266.5,0,0.0068303,3.4151e-5,313.63,272.29,1.5313,0.26072,2441780,0,0.933,0.44373,0.44388,0.31201,0.0028829,0.12884,0.030846,0.047306,3.504e-4,0,0,0,0,1.6799e-5,9.8137e-4,27,5.7256e-4,81.43,0.035949,NaN,0.42554,771.64,331.56,0.05,0.054356
6.5267,746.49,84.887,-1.3489,85.238,1.3493,53.542,0.011916,53.542,0.012752,7.7208,0.03408,40,-99.999,0.99879,0.25635,-5.9084e-5,3.1643,0.080715,266.5,0,0.0068303,3.4151e-5,313.87,272.29,1.54,0.25867,2421676,0,0.91754,0.44359,0.44368,0.31205,0.0028502,0.1287,0.023531,0.036439,4.4124e-4,0,0,0,0,4.2411e-5,9.7384e-4,27,5.7256e-4,81.561,0.046446,NaN,0.39785,771.23,331.54,0.05,0.054543
6.5767,750.71,84.228,-1.3422,84.579,1.3428,53.928,0.012084,53.928,0.012838,7.7014,0.038797,40,-99.999,0.99879,0.16806,-5.893e-5,3.7055,0.10979,266.5,0,0.0068303,3.4151e-5,314.14,272.29,1.5499,0.25662,2401515,0,0.90219,0.44346,0.4435,0.31208,0.0028178,0.12856,0.01532,0.023263,4.0306e-4,0,0,0,0,5.9099e-5,9.6634e-4,27,5.7256e-4,81.734,0.050992,NaN,0.37036,770.82,331.52,0.05,0.054732
6.6267,754.91,83.571,-1.3344,83.924,1.3355,54.312,0.01226,54.312,0.012933,7.6814,0.053754,40,-99.999,0.99879,0.074937,-5.9025e-5,-4.1138,0.25734,266.5,0,0.0068303,3.4151e-5,314.42,272.29,1.5607,0.25466,2382231,0,0.88767,0.44333,0.44334,0.31211,0.0027871,0.12843,0.0067814,0.010271,-3.4763e-4,0,0,0,0,-7.3974e-5,9.5888e-4,27,5.7256e-4,81.933,0.048399,NaN,0.3431,770.42,331.51,0.05,0.054919
6.6767,759.07,82.919,-1.3255,83.271,1.3281,54.696,0.012445,54.696,0.013036,7.6475,0.083545,40,-99.999,0.99879,0.52379,-6.0206e-5,-3.1498,0.052785,266.5,0,0.0068303,3.4151e-5,313.03,272.29,1.5088,0.25286,2364400,0,0.87515,0.44321,0.44358,0.31214,0.002759,0.12831,0.049069,0.073769,-3.1628e-4,0,0,0,0,-4.3993e-5,9.5144e-4,27,5.7256e-4,82.12,0.039581,NaN,0.31604,770.02,331.49,0.05,0.055105
6.7267,763.2,82.271,-1.3184,82.622,1.3222,55.077,0.012635,55.077,0.013144,7.6011,0.10029,40,-99.999,0.99879,0.77804,-5.9059e-5,-0.99552,0.041087,266.5,0,0.0068303,3.4151e-5,312.27,272.29,1.481,0.25099,2346021,0,0.86244,0.44309,0.4439,0.31217,0.0027302,0.12819,0.074292,0.11035,3.716e-4,0,0,0,0,-4.4607e-6,9.4403e-4,27,5.7256e-4,82.227,0.026037,NaN,0.2892,769.62,331.47,0.05,0.055295
6.7767,767.3,81.626,-1.313,81.975,1.3168,55.456,0.012828,55.456,0.013254,7.5513,0.10044,40,-99.999,0.99878,0.8008,-6.2597e-5,1.4978,0.041957,266.5,0,0.0068303,3.4151e-5,312.2,272.29,1.4783,0.24906,2327054,0,0.84862,0.44296,0.44382,0.3122,0.0027007,0.12806,0.076591,0.11361,-1.566e-4,0,0,0,0,1.0256e-5,9.3664e-4,27,5.7256e-4,82.215,0.011589,NaN,0.26257,769.22,331.46,0.05,0.055483
6.8267,771.36,80.984,-1.3084,81.33,1.3118,55.832,0.013021,55.832,0.013363,7.5038,0.093525,40,-99.999,0.99878,0.71704,-6.2832e-5,3.7969,0.04574,266.5,0,0.0068303,3.4151e-5,312.44,272.29,1.487,0.24714,2308260,0,0.83464,0.44284,0.44353,0.31223,0.0026717,0.12794,0.068149,0.10121,-8.1743e-5,0,0,0,0,6.6938e-5,9.2929e-4,27,5.7256e-4,82.081,-0.001616,NaN,0.23614,768.83,331.44,0.022151,0.055755
# Event EJECTION_CHARGE occurred at t=6.8489 seconds
6.8489,773.15,80.7,-1.3066,81.046,1.3096,55.998,0.013106,55.998,0.01341,7.4839,0.089307,40,-99.999,0.99878,0.65959,-6.2633e-5,4.7114,0.051348,266.5,0,0.0068303,3.4151e-5,312.6,272.29,1.4931,0.2463,2.3e6,0,0.82852,0.44279,0.44337,0.31224,0.0026591,0.12789,0.062419,0.092744,3.714e-4,0,0,0,0,1.0377e-4,9.2604e-4,27,5.7256e-4,81.987,-0.0061492,NaN,0.2245,768.66,331.43,0.033226,0.055962
6.8821,775.83,80.274,-1.3039,80.62,1.3065,56.246,0.013231,56.246,0.013478,7.4558,0.083073,40,-99.999,0.99878,0.56938,-6.3267e-5,5.9259,0.063478,266.5,0,0.0068303,3.4151e-5,312.86,272.29,1.5028,0.24507,2287954,0,0.81955,0.44271,0.44315,0.31226,0.0026407,0.12781,0.053515,0.080663,-4.7415e-4,0,0,0,0,1.6583e-4,9.2118e-4,27,5.7256e-4,81.809,-0.011156,NaN,0.20712,768.4,331.42,0.049839,0.056147
6.9319,779.81,79.638,-1.3006,79.983,1.3024,56.617,0.013415,56.617,0.013576,7.4184,0.06876,40,-99.999,0.99878,0.34784,-6.3463e-5,7.2968,0.10871,266.5,0,0.0068303,3.4151e-5,313.52,272.29,1.5273,0.24321,2269746,0,0.80605,0.44259,0.44276,0.31229,0.0026131,0.12769,0.032144,0.048384,-7.4294e-5,0,0,0,0,2.5532e-4,9.1392e-4,27,5.7256e-4,81.477,-0.015389,NaN,0.18122,768.02,331.41,0.05,0.05633
6.9819,783.78,79.001,-1.2981,79.346,1.2991,56.987,0.013595,56.987,0.013668,7.3891,0.050363,40,-99.999,0.99878,0.041285,-6.3824e-5,7.8202,0.91775,266.5,0,0.0068303,3.4151e-5,314.48,272.29,1.5628,0.24133,2251318,0,0.79272,0.44247,0.44248,0.31232,0.0025854,0.12757,0.003725,0.0050972,9.1082e-5,0,0,0,0,2.9788e-4,9.0666e-4,27,5.7256e-4,81.094,-0.014947,NaN,0.15544,767.64,331.39,0.05,0.056514
7.0319,787.71,78.365,-1.2956,78.71,1.2961,57.356,0.013768,57.356,0.013754,7.3682,0.036388,40,-99.999,0.99878,0.20906,-6.4089e-5,-7.5821,0.17109,266.5,0,0.0068303,3.4151e-5,313.94,272.29,1.5428,0.23949,2233328,0,0.7802,0.44236,0.44242,0.31235,0.0025586,0.12746,0.019111,0.029282,-3.6371e-4,0,0,0,0,-2.8436e-4,8.9943e-4,27,5.7256e-4,80.705,-0.011401,NaN,0.12987,767.26,331.38,0.05,0.056696
7.0819,791.62,77.73,-1.2926,78.077,1.2929,57.724,0.013938,57.724,0.013835,7.3529,0.026526,40,-99.999,0.99878,0.3897,-6.3768e-5,-6.7356,0.084926,266.5,0,0.0068303,3.4151e-5,313.38,272.29,1.5218,0.23768,2215647,0,0.76815,0.44225,0.44246,0.31237,0.0025325,0.12734,0.036123,0.055401,1.7154e-4,0,0,0,0,-2.2786e-4,8.9223e-4,27,5.7256e-4,80.345,-0.0039006,NaN,0.1045,766.88,331.36,0.05,0.056877
7.1319,795.49,77.097,-1.2917,77.446,1.2917,58.091,0.014105,58.091,0.013911,7.3439,0.0055612,40,-99.999,0.99878,0.74049,-6.2575e-5,-5.2739,0.046921,266.5,0,0.0068303,3.4151e-5,312.33,272.29,1.483,0.23572,2196595,0,0.75588,0.44213,0.44286,0.3124,0.0025045,0.12722,0.070484,0.1048,-1.1872e-4,0,0,0,0,-1.4204e-4,8.8505e-4,27,5.7256e-4,80.041,0.0063624,NaN,0.079342,766.51,331.35,0.05,0.057059
7.1819,799.32,76.464,-1.2891,76.816,1.2891,58.459,0.014271,58.459,0.013987,7.3453,0.005449,40,-99.999,0.99877,0.92694,-6.1892e-5,-2.8971,0.040562,266.5,0,0.0068303,3.4151e-5,311.79,272.29,1.463,0.23381,2177986,0,0.7438,0.44201,0.44315,0.31243,0.0024774,0.12711,0.089457,0.13062,-3.5525e-4,0,0,0,0,-4.3569e-5,8.779e-4,27,5.7256e-4,79.835,0.017983,NaN,0.054388,766.14,331.33,0.05,0.057241
7.2319,803.13,75.833,-1.2855,76.188,1.2856,58.826,0.014439,58.826,0.014064,7.3489,0.011638,40,-99.999,0.99877,1.031,-6.3064e-5,-0.34124,0.039605,266.5,0,0.0068303,3.4151e-5,311.49,272.29,1.452,0.23188,2159190,0,0.73144,0.4419,0.4433,0.31246,0.0024502,0.12699,0.10026,0.14554,3.4659e-5,0,0,0,0,-6.1464e-7,8.7077e-4,27,5.7256e-4,79.753,0.029672,NaN,0.02964,765.77,331.32,0.05,0.057422
